-1.1737	-4.4641	2.7780	2.9890	0.0540
-2.4364	-5.9763	2.1310	4.5100	0.0645
-3.9581	-4.5444	1.4840	4.5460	0.0894
-0.8260	-3.0167	1.7920	4.7460	0.1007
-1.7469	-3.7716	4.3570	4.1880	0.0461
-3.9281	-5.3197	0.8830	4.7640	0.0914
-0.1748	-3.4924	0.4480	4.4330	0.1596
-4.4833	-3.6709	0.9590	4.7280	0.1383
-0.3415	-1.5788	1.5840	5.1500	0.1079
-2.9364	-5.8265	2.5340	5.8220	0.0636
-0.2120	-3.5175	0.5610	4.5870	0.1796
-13.6088	28.4622	19.2710	27.4820	0.0111
-2.2553	-3.2360	4.5600	4.3330	0.0481
26.4133	2.0054	5.6370	-2.0350	0.0148
-4.7999	-4.2724	0.8600	5.4320	0.0920
24.7141	29.7275	-4.9400	27.1140	0.0139
-0.1964	-3.2599	0.6160	4.1650	0.1382
-3.1367	-6.1644	3.4610	5.6410	0.0497
9.0593	-11.3695	22.4330	1.6770	0.0141
18.3574	-19.5762	21.3520	-20.1620	0.0158
-0.2300	-3.2839	0.7380	4.3240	0.1584
-0.6593	-3.9729	-0.7600	4.8460	0.2204
-0.7372	-3.8015	2.8640	5.3180	0.0603
-1.4363	-3.7692	2.1760	4.3060	0.0737
-0.2947	-5.0405	-0.6790	5.1370	0.1415
-4.4138	-3.1377	1.7060	3.9200	0.0960
-0.6833	-3.9968	-0.8920	5.0050	0.0635
0.4890	-3.0538	2.0090	3.4980	0.2070
-0.1460	-0.8814	2.4120	4.9780	0.1895
1.3872	-3.5858	2.9950	3.9880	0.2782
-3.5828	-3.5283	1.6470	3.5250	0.1323
0.6029	-0.2500	3.0220	4.2830	0.1537
0.5562	-3.3965	1.1490	5.9090	0.1488
-1.0034	-6.1201	-1.0680	4.4740	0.0618
-3.9042	-2.6704	1.3440	4.5740	0.1012
1.5826	-3.4912	3.9990	4.4060	0.1208
1.4087	-3.6110	3.1670	4.1380	0.0746
-0.9747	-0.9773	1.6880	5.8860	0.1007
0.8104	-2.4068	2.5700	4.1330	0.0889
-0.7528	-1.7717	2.7010	6.5760	0.0806
-1.4315	-5.2777	1.6150	3.8290	0.0805
2.6067	-3.5020	3.0040	3.2660	0.0880
0.7828	-3.9585	3.0040	3.4750	0.0875
2.2589	-4.3012	2.7240	2.8570	0.1001
-1.6498	-4.6235	2.9090	4.8920	0.0706
-1.1893	-6.6629	-1.3120	3.4070	0.0646
1.4087	-3.6110	3.1710	4.1470	0.1274
2.9760	-2.8178	3.4750	2.8850	0.2857
-1.4087	-2.0329	2.3480	5.3820	0.1759
2.7554	-3.0634	4.2160	1.8990	0.1130
-1.0574	-2.4583	0.4390	4.5960	0.0779
0.9735	0.4381	3.8820	5.1410	0.2209
-4.1020	-4.0304	1.6150	3.0120	0.1140
2.3009	-2.7782	3.3430	1.7860	0.1488
-0.4074	-2.4439	1.7420	6.9440	0.1349
0.9974	0.4681	4.0630	5.3140	0.0956
0.9962	0.4669	4.0630	5.3090	0.1196
0.9231	-5.4527	3.5060	4.6960	0.0745
0.6976	-2.6596	3.4660	5.5090	0.0648
1.7001	-2.7147	4.2570	2.2080	0.0482
0.8032	-0.2871	2.3800	4.3100	0.1159
-3.8106	-3.6230	1.7830	4.8050	0.0822
1.0658	-4.3970	2.7870	3.2160	0.0575
-4.9162	-2.6201	1.1180	5.2180	0.0829
2.5503	-2.6728	3.1040	3.9020	0.0751
-4.8863	-5.2610	0.8600	5.3730	0.0597
