0.0000	-2.0257	0.8330	2.1540	0.1016
-0.2671	-2.7878	1.3350	1.6180	0.1967
0.5921	-2.5805	1.1310	1.4630	0.1612
-0.3583	-2.0090	1.4390	1.4180	0.1219
-0.3271	-3.3390	0.4980	1.9260	0.0981
0.5562	-2.3816	1.9460	2.5210	0.1285
0.1556	-3.2395	0.6430	1.0860	0.1205
0.4170	-1.7573	2.0590	2.0310	0.0926
0.3763	-3.3019	1.3580	2.1130	0.2981
-0.4566	-3.6014	1.8050	2.3350	0.1626
0.4015	-3.3270	1.5070	2.2580	0.2756
0.1736	-2.7603	1.2170	2.0900	0.1919
1.0634	-2.2510	1.8050	2.8160	0.1244
0.3631	-3.0766	0.9500	2.5350	0.1709
-0.1029	-2.8477	0.7020	2.4900	0.1436
0.1472	-3.1856	1.6830	2.0810	0.1940
0.0000	-3.5739	1.5840	2.2990	0.2431
0.0000	-3.0203	0.9690	1.7950	0.1816
-0.7000	-2.9340	1.2350	2.0900	0.2260
0.1700	-3.2264	1.6110	2.6890	0.2681
